,Age,KMS,Price,Long Range,Performance,Standard
0,3,78000,379900,1,0,0
1,0,7900,519000,1,0,0
2,3,78300,369900,1,0,0
3,1,23400,479000,0,0,1
4,1,17889,409000,0,0,1
5,0,60,539000,1,0,0
6,3,74638,389000,1,0,0
7,3,58500,389990,1,0,0
8,2,59300,426000,0,1,0
9,3,59000,431670,1,0,0
10,2,51749,401670,1,0,0
11,3,96000,379000,1,0,0
12,1,42000,489900,0,1,0
13,0,4500,449000,0,0,1
14,3,129000,376670,0,0,1
15,3,101000,349900,0,0,1
16,3,122800,339900,0,0,1
17,3,133500,340000,1,0,0
18,3,56000,430670,1,0,0
19,3,71000,375000,0,0,1
20,1,51015,469900,1,0,0
21,3,45800,365000,0,0,1
22,3,72231,379990,1,0,0
23,1,37600,509000,1,0,0
24,1,22223,514900,1,0,0
25,3,36272,399000,0,0,1
26,2,41000,421670,1,0,0
27,2,69521,379900,0,0,1
28,3,37100,389900,1,0,0
29,3,68200,369670,0,0,1
30,1,29100,469000,1,0,0
31,1,13167,491670,1,0,0
32,1,49380,449670,1,0,0
33,1,33000,545000,0,1,0
34,1,28700,499670,0,1,0
35,1,15000,409670,0,0,1
36,1,33005,406670,0,0,1
37,3,40634,389000,1,0,0
38,1,25200,449670,0,1,0
39,1,12500,521670,0,1,0
40,1,19750,479000,1,0,0
41,3,73990,298670,1,0,0
42,3,70000,399670,1,0,0
43,3,65000,399000,0,0,1
44,1,21300,499999,1,0,0
45,1,65000,426670,1,0,0
46,3,78000,381670,1,0,0
47,1,25000,530000,0,1,0
48,1,32000,479000,0,0,1
49,1,25000,399000,0,0,1
50,2,26500,499900,0,1,0
51,3,56000,379900,1,0,0
52,1,26812,471670,0,0,1
53,3,65000,389000,1,0,0
54,3,61463,369000,1,0,0
55,1,13000,489900,1,0,0
56,1,19000,417000,0,0,1
57,2,13000,460000,1,0,0
58,1,28500,469900,1,0,0
59,3,90264,379900,0,0,1
60,1,34000,489670,1,0,0
61,3,86300,369900,1,0,0
62,0,15000,549999,0,1,0
63,1,25000,541670,0,0,1
64,1,20100,499000,1,0,0
65,3,69232,399670,1,0,0
66,3,24900,429670,1,0,0
67,3,52400,399000,1,0,0
68,3,61500,395000,1,0,0
69,3,69563,389000,1,0,0
70,0,11500,529000,1,0,0
71,1,10785,424900,0,0,1
72,1,16800,419000,0,0,1
73,3,45000,429900,0,1,0
74,1,23250,404900,0,0,1
75,3,74200,399000,0,1,0
76,2,38500,449000,0,1,0
77,3,70000,389000,1,0,0
78,1,33200,475000,1,0,0
79,3,52000,420000,1,0,0
80,2,29000,389000,0,0,1
81,3,74500,395000,0,1,0
82,1,71300,449000,1,0,0
83,3,82400,379000,1,0,0
84,1,21500,450000,1,0,0
85,1,32100,469000,1,0,0
86,2,61500,429000,0,1,0
87,3,38700,369000,0,0,1
88,3,101900,349900,1,0,0
89,3,78000,379900,1,0,0
90,3,70000,351670,1,0,0
91,3,60238,446670,0,0,1
92,1,18000,490670,0,0,1
93,3,68892,361670,0,0,1
94,3,69000,389000,0,0,1
95,1,19200,409000,0,0,1
96,3,36000,366670,0,0,1
97,3,73647,391670,0,0,1
98,3,73000,378990,1,0,0
99,1,29000,459999,1,0,0
100,1,45000,479000,1,0,0
101,0,1067,465000,0,0,1
102,2,54000,399000,0,0,1
103,3,72890,416670,0,1,0
104,0,1025,465000,0,0,1
105,1,18291,491670,0,0,1
106,1,33700,450670,1,0,0
107,3,81200,396670,0,1,0
108,3,82000,376670,0,0,1
109,3,165736,296670,1,0,0
